Where,Projects,Location,Rule,Status,PR,PR Status
commit,jug-mz/backend-proxy,https://github.com/jug-mz/backend-proxy/blob/db2e9e21156526aa17623ed20b9e7ec0088a8e1c/src/main/java/de/jugmz/meetup/MeetupService.java#L19,@ConfigProperty --> @Inject on field,fixed,,
commit,jug-mz/backend-proxy,https://github.com/jug-mz/backend-proxy/blob/9873aec93a22c110d642ef59890eb32db0a66c23/src/main/java/de/jugmz/meetup/MeetupController.java#L20,@ConfigProperty --> @Inject on field,fixed,,
project,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/master/OpenUP/EPF-shell/src/main/java/epf/shell/security/Security.java#L63,@ConfigProperty --> @Inject on field,not fixed,https://github.com/kimduquan/JavaEE/pull/34,
project,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/master/OpenUP/EPF-shell/src/main/java/epf/shell/client/ClientUtil.java#L30,@ConfigProperty --> @Inject on field,not fixed,https://github.com/kimduquan/JavaEE/pull/34,
project,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/master/OpenUP/EPF-gateway/src/main/java/epf/gateway/Registry.java#L29,@ConfigProperty --> @Inject on field,not fixed,https://github.com/kimduquan/JavaEE/pull/34,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/8bab280c6e66f488ff6da7b01ebbe82c87c27225/OpenUP/EPF-gateway/src/main/java/epf/gateway/stream/Stream.java#L62,@ConfigProperty --> @Inject on field,fixed,,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/8bab280c6e66f488ff6da7b01ebbe82c87c27225/OpenUP/EPF-gateway/src/main/java/epf/gateway/stream/Stream.java#L68,@ConfigProperty --> @Inject on field,fixed,,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/8bab280c6e66f488ff6da7b01ebbe82c87c27225/OpenUP/EPF-gateway/src/main/java/epf/gateway/stream/Stream.java#L74,@ConfigProperty --> @Inject on field,fixed,,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/8bab280c6e66f488ff6da7b01ebbe82c87c27225/OpenUP/EPF-gateway/src/main/java/epf/gateway/messaging/Messaging.java#L65,@ConfigProperty --> @Inject on field,fixed,,
commit,kimduquan/JavaEE,https://github.com/kimduquan/JavaEE/blob/8bab280c6e66f488ff6da7b01ebbe82c87c27225/OpenUP/EPF-gateway/src/main/java/epf/gateway/messaging/Messaging.java#L71,@ConfigProperty --> @Inject on field,fixed,,
